t,w,r,Y,K,L,A,TFP,ext_fin,ext_fin_Y,entrepreneur_share
0,0.2739804174897188,0.007146157699201789,0.5155760405389521,0.550655594929548,0.9960329415191448,0.55026415447745,0.6036067673881702,0.10698872124775853,0.20751298127802636,0.003945715779977595
1,0.2623714134800406,0.003836175192705402,0.6169173633395658,0.6285180260202824,1.2445469732640144,0.5688589020905245,0.6977501773939658,0.13353888572476405,0.21646154519282207,0.003883283154879357
2,0.2537712517857038,0.001384079841755135,0.7179859708271358,0.7068931880018577,1.4975268000407924,0.6081663129710884,0.7875358014373577,0.16003377120865708,0.22289261588815534,0.0038247218423630093
3,0.24740009530173027,-0.0004324770730777521,0.8121202413990011,0.784326713384053,1.7374876965345383,0.6622095996494969,0.8669480870434343,0.1840953132663335,0.22668479848402895,0.003769444887310195
4,0.2426802264915881,-0.0017782155344913237,0.8918101843061224,0.8542355143448885,1.9450888994067481,0.7211332651600499,0.931035261084526,0.20318995514298138,0.22783991337918438,0.0037168337499719657
5,0.23918366167780752,-0.002775163106978679,0.9517059569921141,0.9100859865954066,2.1060700621610025,0.7751410024076587,0.9772694755276291,0.21735755193123205,0.2283872979194067,0.0036663278208727184
6,0.23659334275396424,-0.0035137200337417183,0.9902840252523504,0.9470838844478582,2.215434322798118,0.8179538502815608,1.0063484103118716,0.22552870298574682,0.22774143299774646,0.0036174554771728935
7,0.2346743872978045,-0.004060856462098472,1.0103411062467367,0.9666508115872957,2.2787885289091263,0.8482005965311065,1.0212458544460856,0.22897701253779215,0.22663337275111659,0.003569835470311956
8,0.23325279013120476,-0.004466185097423872,1.016850714842489,0.9732871138036367,2.307448921532916,0.867873395342121,1.0259686358185414,0.22886563838914337,0.2250729974897002,0.0035231680426541017
9,0.23219964504771817,-0.004766459935836983,1.0146572740109208,0.9718413556424135,2.312914639221992,0.879912375558066,1.024127357913111,0.22655300183365384,0.2232803209876909,0.003477222069337944
10,0.23141945598084993,-0.004988909007345676,1.0075118195213244,0.9663126666905325,2.3043693659339537,0.8870069733459335,1.0184042646499794,0.22325590250528912,0.22159134828945182,0.003431821969235761
11,0.23084147770453728,-0.005153703332693045,0.9978076226278225,0.9591840604711199,2.287888232217381,0.8910304903225466,1.0105198258615848,0.21960528129928994,0.2200877968048974,0.003386836054094584
12,0.23041330086628664,-0.005275785971575327,0.9868626420738471,0.9517442076106747,2.266997347544606,0.8930601900386547,1.001442548172877,0.21596726096101743,0.2188422701939269,0.0033421667215686236
13,0.2300960996628367,-0.005366227014888229,0.975258532117237,0.9444134495376689,2.2434291664086525,0.8935420198164451,0.9916405877046384,0.21250196021829768,0.21789295168427458,0.00329774249308268
14,0.22986111123169878,-0.00543322738767189,0.9632598940564568,0.9372185602158083,2.2180934821984963,0.8926693671309031,0.9813720202242153,0.209225166286292,0.21720531247824307,0.0032535116403609576
15,0.22968702752026243,-0.005482862484622494,0.9510447908956288,0.9301465454606768,2.191625673491276,0.8906009133738456,0.9708196841883957,0.2061420580938954,0.21675325922322222,0.0032094370019975053
16,0.22955806313490648,-0.005519633068828804,0.9387308479530709,0.9231622910692284,2.1644642551433413,0.8874720829937652,0.9601120323921567,0.20325456507074438,0.21652059854424374,0.0031654910222644727
17,0.22946252396841577,-0.005546873387593951,0.9263882978553636,0.9162130814489147,2.136894975711976,0.8833979356275158,0.9493345302276504,0.20056016021306275,0.21649686279216804,0.003121647257059569
18,0.2293917468130907,-0.0055670535120723496,0.9140333727926696,0.909212321989579,2.109046478577321,0.878459578021537,0.9385266494034742,0.19804424139944607,0.216670689817765,0.0030778515429209703
19,0.22933931380681788,-0.005582003315981573,0.9015884641886263,0.9019884957235492,2.080806644280836,0.8726604561502476,0.9276537712753029,0.19566591998471702,0.21702353984842102,0.0030338980600821595
