t,w,r,Y,K,L,A,TFP,ext_fin,ext_fin_Y,entrepreneur_share
0,0.8632685058054697,-0.009495800278983686,1.5812497903035585,1.5287070377378784,0.9694978847039577,1.5221062546161297,1.438911121243268,0.33557636852254125,0.21222223748603272,0.030359046473995115
1,0.9689947145513094,-0.007311873576886924,1.7641598217510537,1.789223750679427,0.9636155742577754,1.7770531698289949,1.5457399570916959,0.4020377801720537,0.22789192635222966,0.036168385205889976
2,1.0474636852056856,-0.014332386057147086,1.9319396323852955,2.2263000356421654,0.9780104464410735,2.14310077760643,1.5968078533698078,0.518561293786109,0.26841485370112744,0.033674557792721514
3,1.1003267970274413,-0.020655215297614948,2.0163119413482034,2.447562557480305,0.9694650636890076,2.483153358825085,1.6203778573566623,0.6114038552471249,0.3032288024036156,0.0274638281119067
4,1.1459817082586667,-0.024512627216105545,2.099878340530516,2.818831232062217,0.9691672045066981,2.8420539549076818,1.6252869677276611,0.7075542111301218,0.3369500972858096,0.026055855248964945
5,1.15253496284722,-0.02299292689025067,2.215530429796582,3.1114517765760095,1.0175038940948298,3.1784828182707283,1.6701356253996364,0.782080774249638,0.3529993376445948,0.024871208117412887
6,1.183221403727965,-0.02559628225108975,2.2575015714817463,3.422570808781815,1.009898332090479,3.52343218515931,1.6590518590016339,0.8606518500357538,0.3812408641960996,0.023801997684677993
7,1.2056285589462923,-0.028531250501844126,2.287673188601698,3.694814726478256,1.0043872014565953,3.8339425032114853,1.6473277164300404,0.9272484866055173,0.40532384224526513,0.023036652152711067
8,1.2206923133452916,-0.03065390094977661,2.301074506967489,3.912904374029136,0.9975309879477062,4.10333098779052,1.6317579843018317,0.9792589678746582,0.4255659540399635,0.022323171108404063
9,1.2336251746498688,-0.03165266893509489,2.331567339882595,4.327366642188152,1.0013204164363718,4.356027569894124,1.613517131776859,1.0308575299518141,0.4421307128121474,0.0257177249681375
10,1.2427466376235414,-0.032414208155652734,2.3356244764213656,4.51929397718927,0.9949515729331897,4.595916249993911,1.5977958379453243,1.0727186026197053,0.45928556300425505,0.025319392686205037
11,1.248799139163605,-0.03381635713131073,2.3383134544779143,4.734161845977821,0.9912545464470176,4.805368459110241,1.580669048678956,1.1179173612192033,0.47808704135810814,0.02565398938881733
12,1.2500851665911863,-0.03513408097162311,2.328115071856171,4.871619687221574,0.9859080484219125,4.945382440278151,1.5624024128502514,1.1425069716474212,0.49074334231104716,0.02603882750360176
13,1.249797998924051,-0.03629878244483807,2.317981341348023,4.98197533571099,0.9818361401179599,5.06637259228336,1.5464450484061885,1.1598260097875253,0.500360373527868,0.025921196824226486
14,1.2488259645124666,-0.037266229009940234,2.3084769551292035,5.076682021512715,0.9785745052175906,5.1671421305718725,1.532565014292645,1.1736073501786621,0.5083903253056197,0.02592506634200836
15,1.2477877921677285,-0.03803826816920843,2.300884408113825,5.167528900246166,0.9761381895565047,5.2498436240930015,1.5208810752693915,1.1881033827729313,0.5163681315685441,0.02641331456737046
16,1.2458598008786836,-0.03881053065823535,2.293481880416129,5.240066797046957,0.9744998571453977,5.3166789607573905,1.5103615423667314,1.2009999143272518,0.5236579039854209,0.02625830909184885
17,1.2443795130882016,-0.03945730695152262,2.289239736009832,5.306951307854198,0.9738403916200951,5.376652192766445,1.5024794052775414,1.2153773287152954,0.530908715936283,0.026121286121591196
18,1.2431076024353345,-0.03999814074026991,2.2861346173909824,5.365997198665938,0.973502554826624,5.42809009950219,1.4960104159663257,1.227045984181151,0.5367339153376275,0.02598704861564523
19,1.2416443904027372,-0.04045586952627084,2.2821439974199693,5.4106444189567435,0.9729411443951937,5.465796434766389,1.4901052864189708,1.235120887022156,0.5412107598900404,0.025899066706468018
20,1.2407544976703826,-0.04084186798965391,2.28063253060541,5.453017097535782,0.9729922898262592,5.5013614208061865,1.4860092663649709,1.2429572910250002,0.5450055080530876,0.02579527361681275
21,1.2406033581933202,-0.04115941584396663,2.2820974925369124,5.496191154781768,0.9737282649186898,5.537193276629518,1.4838449069922632,1.2515811719828882,0.5484345765577078,0.025714761782602503
22,1.2406529950017018,-0.041415571748658286,2.283701556681023,5.536942391587321,0.9743649476309033,5.570429414889131,1.482087170812918,1.2588007058905655,0.5512106878448781,0.02578450157223598
23,1.2401687504840186,-0.04164508756407159,2.28333174255957,5.570119519083615,0.9745925606995032,5.598501588507428,1.4794467032824963,1.264185665659921,0.5536583414912779,0.02566709419726397
24,1.2397886968004679,-0.04183127159948864,2.282659499666107,5.5980310722539,0.9745872101354163,5.622995076935318,1.4770201595338988,1.2679578576284567,0.555473936350965,0.025586152856298262
25,1.2394164104649636,-0.04198965347466364,2.281985684835871,5.622725772973304,0.9745863419247534,5.644762240595055,1.4747673151422673,1.2723533376130955,0.5575641188584441,0.025432064847138686
26,1.2392330676967274,-0.04211170716915877,2.2818926680890153,5.648465505273712,0.9746902705948679,5.666683245496676,1.4728607863049867,1.2773064297871668,0.559757453823126,0.025317661772356163
27,1.2390285962019885,-0.04221490469653304,2.2816519670055233,5.670554668145309,0.9747391915727552,5.686193945642614,1.4710705753792301,1.2816678326113125,0.5617280159924627,0.02514602672672363
28,1.238981592914361,-0.04228898993939682,2.2814408919977978,5.6916192944039015,0.9746599643536515,5.703819553563964,1.469484953919974,1.2862449177411626,0.5637862117106316,0.025110482668793305
29,1.2389833271610695,-0.04235583235182411,2.2818498465131816,5.713541562078589,0.9748362655055018,5.72261357809216,1.4682193310893135,1.291225105172954,0.5658676915775295,0.02503924733091204
30,1.2390157100043044,-0.04241650101839216,2.282164230514092,5.733604448561226,0.9749401018448808,5.7410760754885395,1.467019153930121,1.2956859715787559,0.567744404304717,0.0249624277314258
31,1.2390211771414745,-0.04247605366883256,2.2824260969575625,5.751587289284572,0.9750485945733396,5.758391361619962,1.4659083494920995,1.2994769570469653,0.5693402116191834,0.02485957372942656
